year,sec_key,SpCode,otter_density,site_mass,effort,bpue
19,FARA.19,CRABDUN,0.066889632,484.3466518,4,121.086663
19,GARC.19,CRABDUN,1.866404715,174.7192153,4,43.67980383
19,KAGK.19,CRABDUN,26.8401487,0,4,0
19,NATZ.19,CRABDUN,0,879.4414372,4,219.8603593
19,NAUK.19,CRABDUN,3.32047627,37.93710982,4,9.484277455
19,REFU.19,CRABDUN,0.099206349,930.2935138,4,232.5733785
20,BLAQ.20,CRABDUN,2.402196294,57.70113957,3,19.23371319
20,REFU.20,CRABDUN,0,439.4162021,3,146.4720674
19,BAKE.19,CRABDUN,3.989592368,0,4,0
19,BLAQ.19,CRABDUN,1.066552901,0,4,0
19,CHUS.19,CRABDUN,5.971173644,0,4,0
19,DUNB.19,CRABDUN,0.169539418,0,4,0
19,GOAT.19,CRABDUN,0.363416111,0,4,0
19,GUKT.19,CRABDUN,19.48162917,0,4,0
19,HECA.19,CRABDUN,4.87804878,0,4,0
19,KLWA.19,CRABDUN,0.225580871,0,4,0
19,NFEI.19,CRABDUN,0.750577367,0,4,0
19,NOSK.19,CRABDUN,2.882742501,0,4,0
19,NPAS.19,CRABDUN,0,0,4,0
19,SALA.19,CRABDUN,5.894250217,0,4,0
19,SFEI.19,CRABDUN,1.159479251,0,4,0
19,SHIN.19,CRABDUN,6.467870643,0,4,0
19,SODA.19,CRABDUN,2.589134126,0,4,0
19,SWAD.19,CRABDUN,0.157109191,0,4,0
20,CHUS.20,CRABDUN,10.96354903,0,3,0
20,DUNB.20,CRABDUN,0.066889632,0,3,0
20,FARA.20,CRABDUN,0.242277408,0,3,0
20,GARC.20,CRABDUN,6.237721022,0,3,0
20,GOAT.20,CRABDUN,0.056963828,0,3,0
20,GUKT.20,CRABDUN,25.70356473,0,3,0
20,HECA.20,CRABDUN,3.568773234,0,3,0
20,KAGK.20,CRABDUN,10.4669524,0,3,0
20,KLWA.20,CRABDUN,0,0,3,0
20,NATZ.20,CRABDUN,0,0,3,0
20,NAUK.20,CRABDUN,3.752886836,0,3,0
20,NFEI.20,CRABDUN,0.529500756,63.35102084,3,21.11700695
20,NOSK.20,CRABDUN,2.876984127,0,3,0
20,NPAS.20,CRABDUN,0,0,3,0
20,SALA.20,CRABDUN,2.813943721,0,3,0
20,SFEI.20,CRABDUN,1.322525597,0,3,0
20,SHIN.20,CRABDUN,2.847843775,0,3,0
20,SODA.20,CRABDUN,2.854150301,0,3,0
20,SWAD.20,CRABDUN,0.339558574,0,3,0
19,BLAQ.19,CRABGRA,1.066552901,36.49155932,4,9.12288983
19,DUNB.19,CRABGRA,0.169539418,1552.65495,4,388.1637375
19,FARA.19,CRABGRA,0.066889632,161.8742857,4,40.46857143
19,GARC.19,CRABGRA,1.866404715,248.1713657,4,62.04284143
19,GOAT.19,CRABGRA,0.363416111,441.2776191,4,110.3194048
19,GUKT.19,CRABGRA,19.48162917,17.43636678,4,4.359091695
19,KAGK.19,CRABGRA,26.8401487,465.4527073,4,116.3631768
19,NATZ.19,CRABGRA,0,1607.464196,4,401.866049
19,NAUK.19,CRABGRA,3.32047627,22.58034991,4,5.645087478
19,NFEI.19,CRABGRA,0.750577367,82.0404982,4,20.51012455
19,NOSK.19,CRABGRA,2.882742501,1637.415769,4,409.3539422
19,NPAS.19,CRABGRA,0,3285.033938,4,821.2584845
19,REFU.19,CRABGRA,0.099206349,617.0496637,4,154.2624159
19,SALA.19,CRABGRA,5.894250217,257.9621236,4,64.4905309
19,SFEI.19,CRABGRA,1.159479251,292.680437,4,73.17010925
19,SHIN.19,CRABGRA,6.467870643,731.3933909,4,182.8483477
19,SODA.19,CRABGRA,2.589134126,163.3266353,4,40.83165883
20,CHUS.20,CRABGRA,10.96354903,115.1644753,3,38.38815842
20,DUNB.20,CRABGRA,0.066889632,141.0792444,3,47.0264148
20,FARA.20,CRABGRA,0.242277408,384.99248,3,128.3308267
20,GOAT.20,CRABGRA,0.056963828,389.2845887,3,129.7615296
20,GUKT.20,CRABGRA,25.70356473,106.4651606,3,35.48838688
20,HECA.20,CRABGRA,3.568773234,152.0766054,3,50.6922018
20,KAGK.20,CRABGRA,10.4669524,78.46188574,3,26.15396191
20,NAUK.20,CRABGRA,3.752886836,43.24920314,3,14.41640105
20,NOSK.20,CRABGRA,2.876984127,323.365465,3,107.7884883
20,NPAS.20,CRABGRA,0,168.5600073,3,56.1866691
20,REFU.20,CRABGRA,0,142.6989765,3,47.5663255
20,SALA.20,CRABGRA,2.813943721,371.9095584,3,123.9698528
20,SFEI.20,CRABGRA,1.322525597,50.61253004,3,16.87084335
20,SHIN.20,CRABGRA,2.847843775,338.7806379,3,112.9268793
20,SODA.20,CRABGRA,2.854150301,663.6917628,3,221.2305876
19,BAKE.19,CRABGRA,3.989592368,0,4,0
19,CHUS.19,CRABGRA,5.971173644,0,4,0
19,HECA.19,CRABGRA,4.87804878,0,4,0
19,KLWA.19,CRABGRA,0.225580871,0,4,0
19,SWAD.19,CRABGRA,0.157109191,0,4,0
20,BLAQ.20,CRABGRA,2.402196294,0,3,0
20,GARC.20,CRABGRA,6.237721022,0,3,0
20,KLWA.20,CRABGRA,0,0,3,0
20,NATZ.20,CRABGRA,0,0,3,0
20,NFEI.20,CRABGRA,0.529500756,0,3,0
20,SWAD.20,CRABGRA,0.339558574,0,3,0
17,BLAQ.17,CRABRR,2.96875,332.283797,3,110.7612657
17,DUNB.17,CRABRR,0.090909091,606.3024176,3,202.1008059
17,FARA.17,CRABRR,0,1628.312539,3,542.7708465
17,GARC.17,CRABRR,1.466666667,39.81131568,3,13.27043856
17,GOAT.17,CRABRR,0,4460.374037,3,1486.791346
17,HETA.17,CRABRR,0,871.3114138,3,290.4371379
17,NATZ.17,CRABRR,0,2072.839834,3,690.9466115
17,NFEI.17,CRABRR,0.6875,4716.677403,3,1572.225801
17,NPAS.17,CRABRR,0,1403.450157,3,467.8167191
17,REFU.17,CRABRR,0.083333334,191.0501218,3,63.68337393
17,SODA.17,CRABRR,1.115384615,699.5837495,3,233.1945832
17,SWAD.17,CRABRR,0.452380953,1271.815953,3,423.9386509
17,TROC.17,CRABRR,0.041666667,771.603012,3,257.201004
18,NATZ.18,CRABRR,0,5898.532355,4,1474.633089
18,NPAS.18,CRABRR,0,4545.368518,4,1136.34213
18,SUKK.18,CRABRR,0.036029544,4489.62162,4,1122.405405
19,BAKE.19,CRABRR,3.989592368,11.75668654,4,2.939171635
19,BLAQ.19,CRABRR,1.066552901,171.0702466,4,42.76756165
19,FARA.19,CRABRR,0.066889632,1604.65245,4,401.1631126
19,KLWA.19,CRABRR,0.225580871,3496.223927,4,874.0559817
19,NATZ.19,CRABRR,0,794.2594134,4,198.5648534
19,NFEI.19,CRABRR,0.750577367,317.0103571,4,79.25258928
19,NPAS.19,CRABRR,0,2089.373848,4,522.3434619
19,SFEI.19,CRABRR,1.159479251,141.1386298,4,35.28465745
19,SWAD.19,CRABRR,0.157109191,1784.374288,4,446.0935719
20,GOAT.20,CRABRR,0.056963828,80.18265133,3,26.72755044
20,KLWA.20,CRABRR,0,2355.815597,3,785.2718656
20,NATZ.20,CRABRR,0,2093.390184,3,697.796728
20,NFEI.20,CRABRR,0.529500756,194.9617558,3,64.98725193
20,NPAS.20,CRABRR,0,615.2507402,3,205.0835801
20,SODA.20,CRABRR,2.854150301,26.20040339,3,8.733467797
20,SWAD.20,CRABRR,0.339558574,1639.860041,3,546.6200136
17,CHUS.17,CRABRR,3.433333334,0,3,0
17,GUKT.17,CRABRR,7.4,0,3,0
17,KAGK.17,CRABRR,6.0625,0,3,0
17,NAUK.17,CRABRR,2.038461539,0,3,0
17,NOSK.17,CRABRR,6.142857143,0,3,0
17,SALA.17,CRABRR,7.05,0,3,0
17,SFEI.17,CRABRR,1.053571429,0,3,0
17,SHIN.17,CRABRR,3.692307692,0,3,0
19,CHUS.19,CRABRR,5.971173644,0,4,0
19,DUNB.19,CRABRR,0.169539418,0,4,0
19,GARC.19,CRABRR,1.866404715,0,4,0
19,GOAT.19,CRABRR,0.363416111,0,4,0
18,GUKT.18,CRABRR,10.68427371,0,4,0
19,GUKT.19,CRABRR,19.48162917,0,4,0
19,HECA.19,CRABRR,4.87804878,0,4,0
18,KAGK.18,CRABRR,10.67457376,0,4,0
19,KAGK.19,CRABRR,26.8401487,0,4,0
19,NAUK.19,CRABRR,3.32047627,0,4,0
18,NOSK.18,CRABRR,3.436157751,0,4,0
19,NOSK.19,CRABRR,2.882742501,0,4,0
19,REFU.19,CRABRR,0.099206349,0,4,0
19,SALA.19,CRABRR,5.894250217,0,4,0
19,SHIN.19,CRABRR,6.467870643,0,4,0
19,SODA.19,CRABRR,2.589134126,0,4,0
20,BLAQ.20,CRABRR,2.402196294,0,3,0
20,CHUS.20,CRABRR,10.96354903,0,3,0
20,DUNB.20,CRABRR,0.066889632,0,3,0
20,FARA.20,CRABRR,0.242277408,0,3,0
20,GARC.20,CRABRR,6.237721022,0,3,0
20,GUKT.20,CRABRR,25.70356473,0,3,0
20,HECA.20,CRABRR,3.568773234,0,3,0
20,KAGK.20,CRABRR,10.4669524,0,3,0
20,NAUK.20,CRABRR,3.752886836,0,3,0
20,NOSK.20,CRABRR,2.876984127,0,3,0
20,REFU.20,CRABRR,0,0,3,0
20,SALA.20,CRABRR,2.813943721,0,3,0
20,SFEI.20,CRABRR,1.322525597,0,3,0
20,SHIN.20,CRABRR,2.847843775,0,3,0
17,BLAQ.17,CRABHEL,2.96875,85.17304635,3,28.39101545
17,GARC.17,CRABHEL,1.466666667,31.91600475,3,10.63866825
17,GOAT.17,CRABHEL,0,59.28422564,3,19.76140855
17,GUKT.17,CRABHEL,7.4,80.68221287,3,26.89407096
17,KAGK.17,CRABHEL,6.0625,43.56781524,3,14.52260508
17,NFEI.17,CRABHEL,0.6875,14.30950567,3,4.769835223
17,NOSK.17,CRABHEL,6.142857143,145.0496596,3,48.34988653
17,NPAS.17,CRABHEL,0,31.91600475,3,10.63866825
17,REFU.17,CRABHEL,0.083333334,52.28007113,3,17.42669038
17,SALA.17,CRABHEL,7.05,654.0458929,3,218.0152976
17,SHIN.17,CRABHEL,3.692307692,98.60974654,3,32.86991551
17,SWAD.17,CRABHEL,0.452380953,145.7341324,3,48.57804413
18,GUKT.18,CRABHEL,10.68427371,168.2250503,4,42.05626257
18,KAGK.18,CRABHEL,10.67457376,347.8841873,4,86.97104682
19,BLAQ.19,CRABHEL,1.066552901,51.10263724,4,12.77565931
19,FARA.19,CRABHEL,0.066889632,113.1052042,4,28.27630105
19,GARC.19,CRABHEL,1.866404715,75.17866302,4,18.79466576
19,GUKT.19,CRABHEL,19.48162917,125.4690373,4,31.36725933
19,HECA.19,CRABHEL,4.87804878,75.48381999,4,18.870955
19,KAGK.19,CRABHEL,26.8401487,144.3583639,4,36.08959099
19,SALA.19,CRABHEL,5.894250217,342.5718526,4,85.64296314
20,BLAQ.20,CRABHEL,2.402196294,99.76827213,3,33.25609071
20,CHUS.20,CRABHEL,10.96354903,53.0871257,3,17.69570857
20,DUNB.20,CRABHEL,0.066889632,273.289984,3,91.09666133
20,FARA.20,CRABHEL,0.242277408,135.1971501,3,45.0657167
20,GARC.20,CRABHEL,6.237721022,20.94222379,3,6.980741263
20,HECA.20,CRABHEL,3.568773234,47.25482434,3,15.75160811
20,KAGK.20,CRABHEL,10.4669524,207.5351391,3,69.1783797
20,NATZ.20,CRABHEL,0,2.585289498,3,0.861763166
20,NFEI.20,CRABHEL,0.529500756,47.25482434,3,15.75160811
20,NOSK.20,CRABHEL,2.876984127,219.0539607,3,73.01798689
17,CHUS.17,CRABHEL,3.433333334,0,3,0
17,DUNB.17,CRABHEL,0.090909091,0,3,0
17,FARA.17,CRABHEL,0,0,3,0
17,HETA.17,CRABHEL,0,0,3,0
17,NATZ.17,CRABHEL,0,0,3,0
17,NAUK.17,CRABHEL,2.038461539,0,3,0
17,SFEI.17,CRABHEL,1.053571429,0,3,0
17,SODA.17,CRABHEL,1.115384615,0,3,0
17,TROC.17,CRABHEL,0.041666667,0,3,0
19,BAKE.19,CRABHEL,3.989592368,0,4,0
19,CHUS.19,CRABHEL,5.971173644,0,4,0
19,DUNB.19,CRABHEL,0.169539418,0,4,0
19,GOAT.19,CRABHEL,0.363416111,0,4,0
19,KLWA.19,CRABHEL,0.225580871,0,4,0
18,NATZ.18,CRABHEL,0,0,4,0
19,NATZ.19,CRABHEL,0,0,4,0
19,NAUK.19,CRABHEL,3.32047627,0,4,0
19,NFEI.19,CRABHEL,0.750577367,0,4,0
18,NOSK.18,CRABHEL,3.436157751,0,4,0
19,NOSK.19,CRABHEL,2.882742501,0,4,0
18,NPAS.18,CRABHEL,0,0,4,0
19,NPAS.19,CRABHEL,0,0,4,0
19,REFU.19,CRABHEL,0.099206349,0,4,0
19,SFEI.19,CRABHEL,1.159479251,0,4,0
19,SHIN.19,CRABHEL,6.467870643,0,4,0
19,SODA.19,CRABHEL,2.589134126,0,4,0
18,SUKK.18,CRABHEL,0.036029544,0,4,0
19,SWAD.19,CRABHEL,0.157109191,0,4,0
20,GOAT.20,CRABHEL,0.056963828,0,3,0
20,GUKT.20,CRABHEL,25.70356473,0,3,0
20,KLWA.20,CRABHEL,0,0,3,0
20,NAUK.20,CRABHEL,3.752886836,0,3,0
20,NPAS.20,CRABHEL,0,0,3,0
20,REFU.20,CRABHEL,0,0,3,0
20,SALA.20,CRABHEL,2.813943721,0,3,0
20,SFEI.20,CRABHEL,1.322525597,0,3,0
20,SHIN.20,CRABHEL,2.847843775,0,3,0
20,SODA.20,CRABHEL,2.854150301,0,3,0
20,SWAD.20,CRABHEL,0.339558574,0,3,0
