sec_key,year,otter_density,SpCode,cpue
BAKE.19,2019,3.989592368,CRABDUN,0
BLAQ.19,2019,1.066552901,CRABDUN,0
CHUS.19,2019,5.971173644,CRABDUN,0
DUNB.19,2019,0.169539418,CRABDUN,0
FARA.19,2019,0.066889632,CRABDUN,0.5
GARC.19,2019,1.866404715,CRABDUN,0.5
GOAT.19,2019,0.363416111,CRABDUN,0
GUKT.19,2019,19.48162917,CRABDUN,0
HECA.19,2019,4.87804878,CRABDUN,0
KAGK.19,2019,26.8401487,CRABDUN,0
KLWA.19,2019,0.225580871,CRABDUN,0
NATZ.19,2019,0,CRABDUN,2
NAUK.19,2019,3.32047627,CRABDUN,0.5
NFEI.19,2019,0.750577367,CRABDUN,0
NOSK.19,2019,2.882742501,CRABDUN,0
NPAS.19,2019,0,CRABDUN,0
REFU.19,2019,0.099206349,CRABDUN,1.75
SALA.19,2019,5.894250217,CRABDUN,0
SFEI.19,2019,1.159479251,CRABDUN,0
SHIN.19,2019,6.467870643,CRABDUN,0
SODA.19,2019,2.589134126,CRABDUN,0
SWAD.19,2019,0.157109191,CRABDUN,0
BLAQ.20,2020,2.402196294,CRABDUN,0.333333333
CHUS.20,2020,10.96354903,CRABDUN,0
DUNB.20,2020,0.066889632,CRABDUN,0
FARA.20,2020,0.242277408,CRABDUN,0
GARC.20,2020,6.237721022,CRABDUN,0
GOAT.20,2020,0.056963828,CRABDUN,0
GUKT.20,2020,25.70356473,CRABDUN,0
HECA.20,2020,3.568773234,CRABDUN,0
KAGK.20,2020,10.4669524,CRABDUN,0
KLWA.20,2020,0,CRABDUN,0
NATZ.20,2020,0,CRABDUN,0
NAUK.20,2020,3.752886836,CRABDUN,0
NFEI.20,2020,0.529500756,CRABDUN,0.333333333
NOSK.20,2020,2.876984127,CRABDUN,0
NPAS.20,2020,0,CRABDUN,0
REFU.20,2020,0,CRABDUN,0
SALA.20,2020,2.813943721,CRABDUN,0
SFEI.20,2020,1.322525597,CRABDUN,0
SHIN.20,2020,2.847843775,CRABDUN,0
SODA.20,2020,2.854150301,CRABDUN,0
SWAD.20,2020,0.339558574,CRABDUN,0
BAKE.19,2019,3.989592368,CRABGRA,0
BLAQ.19,2019,1.066552901,CRABGRA,0.25
CHUS.19,2019,5.971173644,CRABGRA,0
DUNB.19,2019,0.169539418,CRABGRA,5.75
FARA.19,2019,0.066889632,CRABGRA,0.5
GARC.19,2019,1.866404715,CRABGRA,1
GOAT.19,2019,0.363416111,CRABGRA,2.5
GUKT.19,2019,19.48162917,CRABGRA,0.5
