sec_key,year,otter_density,pot,pot_catch
BLAQ.17,2017,2.96875,crab.1,0
BLAQ.17,2017,2.96875,crab.2,0
BLAQ.17,2017,2.96875,crab.3,0
BLAQ.17,2017,2.96875,minnow.1,1
BLAQ.17,2017,2.96875,minnow.2,0
BLAQ.17,2017,2.96875,minnow.3,0
BLAQ.17,2017,2.96875,shrimp.1,2
BLAQ.17,2017,2.96875,shrimp.2,0
BLAQ.17,2017,2.96875,shrimp.3,2
CHUS.17,2017,3.433333334,crab.1,0
CHUS.17,2017,3.433333334,crab.2,0
CHUS.17,2017,3.433333334,crab.3,0
CHUS.17,2017,3.433333334,minnow.1,1
CHUS.17,2017,3.433333334,minnow.2,1
CHUS.17,2017,3.433333334,minnow.3,0
CHUS.17,2017,3.433333334,shrimp.1,0
CHUS.17,2017,3.433333334,shrimp.2,0
CHUS.17,2017,3.433333334,shrimp.3,0
DUNB.17,2017,0.090909091,crab.1,0
DUNB.17,2017,0.090909091,crab.2,0
DUNB.17,2017,0.090909091,crab.3,0
DUNB.17,2017,0.090909091,minnow.1,6
DUNB.17,2017,0.090909091,minnow.2,0
DUNB.17,2017,0.090909091,minnow.3,5
DUNB.17,2017,0.090909091,shrimp.1,0
DUNB.17,2017,0.090909091,shrimp.2,0
DUNB.17,2017,0.090909091,shrimp.3,2
FARA.17,2017,0,crab.1,0
FARA.17,2017,0,crab.2,0
FARA.17,2017,0,crab.3,0
FARA.17,2017,0,minnow.1,0
FARA.17,2017,0,minnow.2,2
FARA.17,2017,0,minnow.3,0
FARA.17,2017,0,shrimp.1,0
FARA.17,2017,0,shrimp.2,2
FARA.17,2017,0,shrimp.3,0
GARC.17,2017,1.466666667,crab.1,0
GARC.17,2017,1.466666667,crab.2,0
GARC.17,2017,1.466666667,crab.3,0
GARC.17,2017,1.466666667,minnow.1,1
GARC.17,2017,1.466666667,minnow.2,1
GARC.17,2017,1.466666667,minnow.3,4
GARC.17,2017,1.466666667,shrimp.1,2
GARC.17,2017,1.466666667,shrimp.2,3
GARC.17,2017,1.466666667,shrimp.3,0
GOAT.17,2017,0,crab.1,0
GOAT.17,2017,0,crab.2,0
