year,bay_code,sec_key,shoot_dens,shoot_dens_se
2017,SALA,SALA.17,226.5,14.22146265
2017,NOSK,NOSK.17,245,20.35050017
2017,CHUS,CHUS.17,220.5,25.40458339
2017,KAGK,KAGK.17,180.5,17.22850628
2017,NAUK,NAUK.17,205,12.55274586
2017,GUKT,GUKT.17,186,28.23371844
2017,BLAQ,BLAQ.17,401,34.73779333
2017,SODA,SODA.17,143.5,21.4800572
2017,GOAT,GOAT.17,232,24.20153478
2017,NPAS,NPAS.17,93,10.41290408
2017,NATZ,NATZ.17,170.5,14.94633256
2017,DUNB,DUNB.17,230,14.36264997
2017,FARA,FARA.17,181.5,28.41465919
2017,HETA,HETA.17,275,16.79710859
2017,NFEI,NFEI.17,369,24.89693039
2017,SFEI,SFEI.17,265.5,15.07955096
2017,SWAD,SWAD.17,381,30.8614415
2017,SHIN,SHIN.17,266,17.80850519
2017,TROC,TROC.17,471,38.08824341
2017,GARC,GARC.17,283,23.84174011
2017,REFU,REFU.17,334.5,43.67370899
2018,KAGK,KAGK.18,205.5,10.0835793
2018,GUKT,GUKT.18,236,19.40544842
2018,NOSK,NOSK.18,259,21.0814746
2018,NPAS,NPAS.18,203,23.5280987
2018,NATZ,NATZ.18,220.5,25.15594221
2018,SUKK,SUKK.18,246.5,13.24359684
2019,BAKE,BAKE.19,220.8,32.12382294
2019,GOAT,GOAT.19,78.2,5.953150426
2019,NAUK,NAUK.19,81.4,8.405950273
2019,DUNB,DUNB.19,118.8,9.189124006
2019,KLWA,KLWA.19,92.2,14.09397034
2019,SALA,SALA.19,109.4,12.65148213
2019,NPAS,NPAS.19,49.2,4.140048309
2019,SWAD,SWAD.19,87,17.74542194
2019,SHIN,SHIN.19,66,6.774953874
2019,GUKT,GUKT.19,114.2,15.2230089
2019,REFU,REFU.19,102.2,8.737276464
2019,NFEI,NFEI.19,207.8,25.85033849
2019,NATZ,NATZ.19,76,5.449770637
2019,NOSK,NOSK.19,76.4,6.28171951
2019,KAGK,KAGK.19,84.2,9.172785836
2019,FARA,FARA.19,62,7.791020472
2019,CHUS,CHUS.19,85,8.396427812
2019,SFEI,SFEI.19,322.8,20.53630931
2019,HECA,HECA.19,51.8,5.093132631
2020,GUKT,GUKT.20,60.875,5.396551478
2020,NOSK,NOSK.20,62.5,11.41584112
2020,NATZ,NATZ.20,15,4.539509099
2020,REFU,REFU.20,107.625,33.67329246
2020,SHIN,SHIN.20,53.75,7.04006392
2020,NFEI,NFEI.20,210.375,18.18843579
