bay_code,SpCode,carapace_width_mm,sex,pri.key,sec_key,otter_density
NFEI,CRABDUN,72,M,CRABDUN.20,NFEI.20,0.52950076
REFU,CRABDUN,174,M,CRABDUN.20,REFU.20,0
BLAQ,CRABDUN,69,M,CRABDUN.20,BLAQ.20,2.402196294
SALA,CRABDUN,60,M,CRABDUN.17,SALA.17,7.05
SALA,CRABDUN,88,M,CRABDUN.17,SALA.17,7.05
SALA,CRABDUN,80,M,CRABDUN.17,SALA.17,7.05
SALA,CRABDUN,56,M,CRABDUN.17,SALA.17,7.05
SALA,CRABDUN,88,F,CRABDUN.17,SALA.17,7.05
SALA,CRABDUN,48,F,CRABDUN.17,SALA.17,7.05
SALA,CRABDUN,62,M,CRABDUN.17,SALA.17,7.05
NOSK,CRABDUN,52,M,CRABDUN.17,NOSK.17,6.142857143
NOSK,CRABDUN,58,M,CRABDUN.17,NOSK.17,6.142857143
NOSK,CRABDUN,54,M,CRABDUN.17,NOSK.17,6.142857143
CHUS,CRABDUN,54,F,CRABDUN.17,CHUS.17,3.433333334
CHUS,CRABDUN,51,M,CRABDUN.17,CHUS.17,3.433333334
KAGK,CRABDUN,49,M,CRABDUN.17,KAGK.17,6.0625
KAGK,CRABDUN,44,M,CRABDUN.17,KAGK.17,6.0625
KAGK,CRABDUN,54,F,CRABDUN.17,KAGK.17,6.0625
KAGK,CRABDUN,45,F,CRABDUN.17,KAGK.17,6.0625
NAUK,CRABDUN,71,U,CRABDUN.17,NAUK.17,2.038461539
NAUK,CRABDUN,50,M,CRABDUN.17,NAUK.17,2.038461539
NAUK,CRABDUN,41,M,CRABDUN.17,NAUK.17,2.038461539
NAUK,CRABDUN,52,M,CRABDUN.17,NAUK.17,2.038461539
NAUK,CRABDUN,55,F,CRABDUN.17,NAUK.17,2.038461539
NAUK,CRABDUN,56,M,CRABDUN.17,NAUK.17,2.038461539
NAUK,CRABDUN,50,F,CRABDUN.17,NAUK.17,2.038461539
NAUK,CRABDUN,45,F,CRABDUN.17,NAUK.17,2.038461539
NAUK,CRABDUN,73,M,CRABDUN.17,NAUK.17,2.038461539
NAUK,CRABDUN,47,M,CRABDUN.17,NAUK.17,2.038461539
GUKT,CRABDUN,59,M,CRABDUN.17,GUKT.17,7.4
BLAQ,CRABDUN,60,M,CRABDUN.17,BLAQ.17,2.96875
BLAQ,CRABDUN,61,F,CRABDUN.17,BLAQ.17,2.96875
BLAQ,CRABDUN,54,M,CRABDUN.17,BLAQ.17,2.96875
BLAQ,CRABDUN,66,F,CRABDUN.17,BLAQ.17,2.96875
BLAQ,CRABDUN,49,M,CRABDUN.17,BLAQ.17,2.96875
