year,bay_code,bay_sample,date_set,YYYYMMDD_set,time_set,date_pulled,YYYYMMDD_pulled,time_pulled,time_soak_hr,trap,string,Sp_CommonName,Sp_ScientificName,SpCode,Taxa,carapace_width_mm,sex,fork_length_mm,unmeasured,notes,pri.key,sec_key
2019,BAKE,A,8/12/2019,20190812,1045,8/13/2019,20190813,900,22.25,minnow,1,Red Rock Crab,Cancer productus,CRABRR,invertebrate,39,M,NA,NA,NA,CRABRR.19,BAKE.19
2019,BAKE,A,8/12/2019,20190812,1045,8/13/2019,20190813,900,22.25,minnow,3,Pacific Staghorn Sculpin,Leptocottus armatus,SCULPSTG,fish,NA,NA,121,NA,NA,SCULPSTG.19,BAKE.19
2019,BAKE,A,8/12/2019,20190812,1045,8/13/2019,20190813,900,22.25,minnow,2,Pacific Staghorn Sculpin,Leptocottus armatus,SCULPSTG,fish,NA,NA,311,NA,NA,SCULPSTG.19,BAKE.19
2019,BAKE,A,8/12/2019,20190812,1045,8/13/2019,20190813,900,22.25,minnow,2,Pacific Staghorn Sculpin,Leptocottus armatus,SCULPSTG,fish,NA,NA,301,NA,NA,SCULPSTG.19,BAKE.19
2019,BAKE,A,8/12/2019,20190812,1045,8/13/2019,20190813,900,22.25,minnow,2,Kelp Crab,Pugettia producta,CRABKEL,NA,43,M,NA,NA,NA,CRABKEL.19,BAKE.19
2019,BAKE,A,8/12/2019,20190812,1045,8/13/2019,20190813,900,22.25,minnow,4,Kelp Crab,Pugettia producta,CRABKEL,NA,23,F,NA,NA,NA,CRABKEL.19,BAKE.19
2019,BAKE,A,8/12/2019,20190812,1045,8/13/2019,20190813,900,22.25,minnow,2,Sunflower Seastar,Pycnopodia helianthoides,STARSF,NA,NA,NA,NA,NA,NA,STARSF.19,BAKE.19
2019,BAKE,A,8/12/2019,20190812,1045,8/13/2019,20190813,900,22.25,minnow,2,Copper Rockfish,Sebastes caurinus,ROCKCOP,fish,NA,NA,216,NA,NA,ROCKCOP.19,BAKE.19
2019,BAKE,A,8/12/2019,20190812,1045,8/13/2019,20190813,900,22.25,minnow,3,Copper Rockfish,Sebastes caurinus,ROCKCOP,fish,NA,NA,379,NA,NA,ROCKCOP.19,BAKE.19
2019,BLAQ,A,7/31/2019,20190731,1015,8/1/2019,20190801,830,22.25,minnow,4,Red Rock Crab,Cancer productus,CRABRR,invertebrate,57,M,NA,NA,NA,CRABRR.19,BLAQ.19
2019,BLAQ,A,7/31/2019,20190731,1015,8/1/2019,20190801,830,22.25,pot,3,Red Rock Crab,Cancer productus,CRABRR,invertebrate,107,M,NA,NA,NA,CRABRR.19,BLAQ.19
